Sport	Service	Type	Style	y	R2	RMSE	MAE	ModelType	Date	Params
nba	draftkings	GPP	classic	last	-.26	27.6	4.23	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	GPP	classic	last	.08	23.56	4.27	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	draftkings	GPP	classic	last	.208	21.8	4.3	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	GPP	classic	top	-.04	22.6	3.85	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	GPP	classic	top	-.3	25.5	4.5	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	GPP	classic	top	.31	18.34	3.67	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.38	31.9	5.24	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.5	33.4	4.88	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	last	-1.04	38.8	5.56	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	FIFTY_FIFTY	classic	top	-.55	32.08	4.79	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	FIFTY_FIFTY	classic	top	-.945	35.9	5.18	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	top	.399	19.95	4.12	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	GPP	classic	last	-.18	53	6.99	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	GPP	classic	last	-.7	64.39	7.67	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	GPP	classic	last	-1.2	69.5	7.92	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	GPP	classic	top	-.01	28.3	4.53	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	GPP	classic	top	.29	23.66	3.97	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
