Result for 2018-12-03:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	276.6420608997956	0.48358	276.6420608997956	439	0.4214020489	0.2678322357	0.6462710661	0.51642	1298	1284	0 days 00:58:08.653371000	2
1	282.63374776108435	0.53061	282.63374776108435	508	0.2715129114	0.798740024	0.3829150352	0.46939	1404	525	0 days 00:20:03.427880000	2
2	282.4328886422976	0.74517	282.4328886422976	840	0.1922082433	0.8621895308	0.4763687574	0.25483	866	802	0 days 00:32:33.616310000	3
3	264.8856145937505	0.48199	264.8856145937505	144	0.3783055269	0.7699884693	0.3155081078	0.51801	113	1016	0 days 00:00:40.271503000	2
4	274.28120001692054	0.60087	274.28120001692054	242	0.3038609924	0.3228014689	0.4011756867	0.39913	1734	1779	0 days 01:15:28.854448000	2
5	282.63374776108435	0.51077	282.63374776108435	635	0.1407551143	0.9	0.2533485658	0.48923	2000	100	0 days 00:17:39.651595000	2
6	282.63374776108435	0.55837	282.63374776108435	965	0.4870533272	0.5757361636	0.3697200498	0.44163	1060	1127	0 days 01:15:28.256045000	2
7	260.1413932384088	0.60081	260.1413932384088	229	0.5	0.573634573	0.6990494665	0.39919	127	1256	0 days 00:07:12.152485000	2
8	282.63374776108435	0.50276	282.63374776108435	1000	0.1919206078	0.777255614	0.75	0.49724	1759	100	0 days 00:13:08.342583000	2
9	282.25389915242675	0.59121	282.25389915242675	967	0.4727085959	0.5809539975	0.1328609731	0.40879	1042	1223	0 days 01:11:01.358566000	3
10	282.63374776108435	0.1	282.63374776108435	1000	0.3036199241	0.1	0.0	0.9	1956	2000	0 days 11:00:26.196277000	3
11	251.76839335860544	0.5	251.76839335860544	50	0.1	0.1	0.75	0.5	2000	2000	0 days 00:08:19.070726000	1
12	280.5280975112356	0.5	280.5280975112356	892	0.4831386617	0.249825761	0.75	0.5	1982	818	0 days 00:33:43.419594000	1
13	282.63374776108435	0.4656	282.63374776108435	964	0.4248285053	0.5976266365	0.531155302	0.5344	1090	1354	0 days 00:46:17.171778000	1
14	282.4328886422976	0.53934	282.4328886422976	515	0.24738344	0.8696870364	0.3587942495	0.46066	1439	420	0 days 00:07:56.767803000	2
15	282.63374776108435	0.5007	282.63374776108435	508	0.2995312139	0.7062510197	0.4030495809	0.4993	1447	755	0 days 00:25:40.974940000	2
16	282.63374776108435	0.50128	282.63374776108435	542	0.2363655207	0.6577028996	0.3774110654	0.49872	1765	764	0 days 00:34:24.132475000	2
17	281.75803794916953	0.55937	281.75803794916953	998	0.4939681729	0.6729003249	0.1341288582	0.44063	420	1589	0 days 01:20:39.624397000	2
18	282.63374776108435	0.32145	282.63374776108435	1000	0.2246665029	0.6181581447	0.75	0.67855	1838	230	0 days 00:20:40.882213000	1
19	282.63374776108435	0.51952	282.63374776108435	682	0.110877425	0.7833518487	0.2526801827	0.48048	2000	110	0 days 00:26:15.157815000	3
20	282.63374776108435	0.38688	282.63374776108435	1000	0.3205592717	0.7010794872	0.5796569398	0.61312	1221	1069	0 days 00:56:06.321443000	1
21	282.63374776108435	0.5042	282.63374776108435	527	0.3031572836	0.547371034	0.3944604726	0.4958	1762	1001	0 days 01:04:40.722158000	2
22	282.63374776108435	0.48606	282.63374776108435	558	0.2470203847	0.413496712	0.4074814605	0.51394	2000	1158	0 days 01:16:57.131520000	2
23	282.63374776108435	0.49183	282.63374776108435	530	0.2739685857	0.6043516211	0.405685538	0.50817	1708	859	0 days 00:31:33.906766000	2
24	282.4328886422976	0.53438	282.4328886422976	949	0.4406053127	0.5788793042	0.4073580991	0.46562	1156	1078	0 days 00:49:40.424805000	2
25	282.63374776108435	0.47849	282.63374776108435	1000	0.4429232043	0.6462556758	0.561518409	0.52151	906	1470	0 days 01:19:37.358938000	1
26	282.4328886422976	0.41434	282.4328886422976	958	0.4549233074	0.224445357	0.0987755987	0.58566	2000	1316	0 days 01:20:50.609170000	2
27	282.63374776108435	0.12768	282.63374776108435	970	0.2909242825	0.1	0.0	0.87232	2000	1511	0 days 00:07:19.012732000	3
28	282.63374776108435	0.52877	282.63374776108435	572	0.1318812731	0.5155890772	0.3802422039	0.47123	2000	724	0 days 00:50:56.255696000	2
29	281.9607468340862	0.39635	281.9607468340862	901	0.5	0.1	0.1573970609	0.60365	2000	1087	0 days 02:55:39.787970000	3
30	282.63374776108435	0.62944	282.63374776108435	630	0.1	0.9	0.3828516216	0.37056	1220	100	0 days 00:04:47.966740000	2
31	282.63374776108435	0.54021	282.63374776108435	656	0.1292622377	0.8875725789	0.2629979314	0.45979	2000	104	0 days 00:17:03.740668000	3
32	282.63374776108435	0.57516	282.63374776108435	976	0.5	0.4853436679	0.3575895939	0.42484	1660	1191	0 days 01:24:10.228339000	2
33	281.62725874472574	0.50881	281.62725874472574	656	0.1328192424	0.8550458735	0.2613844896	0.49119	1990	146	0 days 00:05:43.555473000	1
34	281.84420325668634	0.30386	281.84420325668634	640	0.2793437984	0.5174738705	0.2331638445	0.69614	1635	744	0 days 00:24:08.434844000	3


Result for 2018-12-17:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	281.145185873049	0.49342	281.145185873049	939	0.1486501052	0.7001281118	0.0404631082	0.50658	1439	1006	0 days 00:48:02.863399000	2
1	279.8928324638179	0.41939	279.8928324638179	222	0.1868759884	0.8599578868	0.5173942103	0.58061	1122	329	0 days 00:16:40.008217000	3
2	277.8843444060483	0.88129	277.8843444060483	535	0.2441872286	0.8383970687	0.1205123733	0.11871	1954	1078	0 days 00:06:20.202240000	2
3	273.4808147956117	0.30595	273.4808147956117	608	0.1726377159	0.7373778113	0.4534981581	0.69405	107	1074	0 days 00:01:36.004559000	2
4	279.4853178323767	0.15871	279.4853178323767	516	0.4610932398	0.4373624758	0.4094487075	0.84129	929	1102	0 days 00:26:01.508291000	1
5	280.25533232948067	0.46414	280.25533232948067	1000	0.1623134129	0.6583765541	0.0158407545	0.53586	1427	1091	0 days 00:28:07.122965000	2
6	251.46470423227217	0.88508	251.46470423227217	50	0.5	0.1	0.75	0.11492	1316	1381	0 days 00:00:13.917467000	1
7	274.3467295304231	0.1	274.3467295304231	50	0.5	0.1	0.1566845204	0.9	1849	100	0 days 00:00:28.843961000	1
8	280.9068682618593	0.5	280.9068682618593	1000	0.2550737889	0.9	0.1508106383	0.5	2000	1543	0 days 00:31:04.954647000	1
9	278.6114718528953	0.21555	278.6114718528953	1000	0.1	0.9	0.1321828455	0.78445	100	2000	0 days 00:21:47.180474000	3
10	281.145185873049	0.62997	281.145185873049	1000	0.1	0.9	0.1305630809	0.37003	1998	544	0 days 00:06:11.912625000	1
11	280.9068682618593	0.5	280.9068682618593	50	0.5	0.7372524782	0.0	0.5	2000	100	0 days 00:00:29.465346000	1
12	276.42524166015534	0.3376	276.42524166015534	128	0.3412476981	0.8835618024	0.0	0.6624	2000	100	0 days 00:00:35.480183000	1
13	280.25595510878253	0.56841	280.25595510878253	886	0.1139956327	0.7723475574	0.0581177419	0.43159	1594	535	0 days 00:10:53.375989000	2
14	280.9068682618593	0.52255	280.9068682618593	1000	0.209013024	0.7023233443	0.1052852521	0.47745	1572	1091	0 days 00:47:30.795699000	2
15	280.2559551087825	0.61494	280.2559551087825	1000	0.1	0.8673525263	0.1250996003	0.38506	1724	741	0 days 00:15:40.213916000	1
16	280.78080696558027	0.5	280.78080696558027	285	0.3142704405	0.8997616511	0.2312812888	0.5	2000	145	0 days 00:06:56.375257000	2
