Result for 2018-11-15:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
8	130.42594450251107	0.59074	130.42594450251107	351	0.1288486348	0.4838822653	0.0175081438	0.40926	885	210	0 days 00:01:17.920288000	1
9	128.12799747307508	0.20516	128.12799747307508	171	0.2250022672	0.4865641391	0.6305632997	0.79484	618	189	0 days 00:01:22.777565000	1
10	126.81459002307744	0.57264	126.81459002307744	170	0.1724543674	0.4831784836	0.3943938499	0.42736	649	314	0 days 00:01:23.585249000	1
11	130.5987637468528	0.54095	130.5987637468528	456	0.1069628724	0.4820145718	0.0308078202	0.45905	909	275	0 days 00:01:57.055786000	1
12	129.58150155362867	0.64128	129.58150155362867	402	0.2565114784	0.4803707929	0.6095245846	0.35872	703	222	0 days 00:00:38.478568000	1
13	130.59876374685282	0.38802	130.59876374685282	404	0.3126625552	0.4897266096	0.4204704724	0.61198	1000	305	0 days 00:04:08.986631000	1
14	131.13877285210285	0.61173	131.13877285210285	388	0.1463229622	0.4902879612	0.274181744	0.38827	1000	181	0 days 00:01:33.191998000	1
15	130.42594450251107	0.4366	130.42594450251107	389	0.1288016105	0.4958673112	0.1377820677	0.5634	573	100	0 days 00:00:41.887972000	1
16	129.91002770274665	0.29643	129.91002770274665	475	0.1	0.5115157632	0.0	0.70357	1000	100	0 days 00:01:31.382277000	1
17	128.27249891558102	0.57743	128.27249891558102	390	0.1403568439	0.4898837376	0.2413949518	0.42257	892	100	0 days 00:00:47.132528000	1
18	126.9708972336303	0.4762	126.9708972336303	417	0.5	0.4684779722	0.343189351	0.5238	659	1000	0 days 00:25:49.868326000	2
19	130.2219963895955	0.48481	130.2219963895955	600	0.451146934	0.4371802092	0.0	0.51519	1000	1000	0 days 00:14:21.755727000	1
20	130.36406440182438	0.49852	130.36406440182438	600	0.5	0.9	0.0	0.50148	1000	1000	0 days 00:10:01.782738000	1
21	129.60421190874018	0.5	129.60421190874018	170	0.5	0.9	0.0	0.5	1000	1000	0 days 00:06:11.972865000	1
22	130.5987637468528	0.64823	130.5987637468528	600	0.3751155879	0.4908432788	0.0	0.35177	1000	1000	0 days 00:14:44.878290000	1
23	130.42594450251107	0.68675	130.42594450251107	600	0.1740017242	0.7885548072	0.2372158937	0.31325	1000	233	0 days 00:00:39.227198000	1
24	130.2271995966843	0.64092	130.2271995966843	600	0.1	0.4998114587	0.0	0.35908	1000	100	0 days 00:02:45.857088000	2
25	130.2651567893766	0.9	130.2651567893766	600	0.1	0.9	0.0	0.1	1000	100	0 days 00:02:23.977450000	2
26	128.21712502008742	0.64897	128.21712502008742	600	0.1	0.7329025266	0.0	0.35103	1000	100	0 days 00:03:00.178943000	2
27	124.04817313699904	0.9	124.04817313699904	600	0.1	0.9	0.0	0.1	100	100	0 days 00:00:15.926680000	1
28	128.55281849100564	0.65842	128.55281849100564	600	0.1	0.4290827112	0.0	0.34158	1000	100	0 days 00:00:20.761353000	1
29	131.13877285210285	0.39091	131.13877285210285	600	0.2389103131	0.5001975839	0.0751502715	0.60909	530	534	0 days 00:03:52.521299000	1


Result for 2019-01-17:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
