Result for 2018-09-30:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	108.46052726402708	0.5013	108.46052726402708	288	0.1765855575	0.4567362794	0.7485833021	0.4987	105	923	0 days 00:06:48.189744000	2
1	107.56559937580444	0.56664	107.56559937580444	91	0.3171389357	0.2312781401	0.4911340503	0.43336	692	955	0 days 00:03:40.239830000	2
2	123.02885794604887	0.53213	123.02885794604887	518	0.2266420039	0.1833986774	0.7051040563	0.46787	881	211	0 days 00:05:19.687255000	2
3	123.40343744405307	0.32668	123.40343744405307	314	0.3780695651	0.895293816	0.0674409331	0.67332	371	745	0 days 00:04:20.218345000	1
4	100.24450015848872	0.69351	100.24450015848872	112	0.4932197523	0.3508226612	0.2155952422	0.30649	402	895	0 days 00:01:14.849545000	1
5	122.95874809197389	0.46445	122.95874809197389	319	0.3990207135	0.8994656849	0.3307325674	0.53555	526	746	0 days 00:05:42.180409000	1
6	122.32022999375582	0.37188	122.32022999375582	309	0.3039796552	0.890524056	0.0986444874	0.62812	438	744	0 days 00:04:29.396959000	1
7	122.0808778907167	0.20006	122.0808778907167	255	0.4643100068	0.9	0.0726398317	0.79994	177	745	0 days 00:00:50.380556000	1
8	121.3799689031709	0.31932	121.3799689031709	328	0.3744815825	0.9	0.4009942815	0.68068	329	747	0 days 00:05:01.677019000	1
9	123.46459430890314	0.66134	123.46459430890314	556	0.3615761257	0.9	0.0	0.33866	1000	699	0 days 00:05:35.978892000	1
10	121.65868142508367	0.9	121.65868142508367	590	0.1372451216	0.9	0.0	0.1	1000	620	0 days 00:06:48.322906000	1
11	122.30731139295857	0.66723	122.30731139295857	440	0.5	0.895425138	0.0	0.33277	1000	768	0 days 00:06:42.824840000	1
12	122.31676397128712	0.51922	122.31676397128712	583	0.2160536446	0.1659343788	0.7253805652	0.48078	937	104	0 days 00:03:26.341095000	2
13	119.5875592973033	0.66735	119.5875592973033	529	0.3076655079	0.1342128831	0.3356607321	0.33265	300	271	0 days 00:00:28.575443000	2
14	122.22848233523426	0.5	122.22848233523426	565	0.1	0.2061276695	0.75	0.5	1000	100	0 days 00:03:56.213588000	2
15	123.27902301659178	0.5	123.27902301659178	373	0.3406957755	0.3010179731	0.75	0.5	1000	100	0 days 00:03:19.888960000	2
16	123.2959812751097	0.5	123.2959812751097	332	0.4269885333	0.3078746018	0.75	0.5	1000	162	0 days 00:03:37.548087000	2
17	120.40836711161272	0.44623	120.40836711161272	119	0.4460038812	0.3649187672	0.75	0.55377	1000	100	0 days 00:01:33.354694000	2
18	123.46459430890314	0.5	123.46459430890314	504	0.3173976781	0.2575730646	0.75	0.5	1000	169	0 days 00:05:19.434518000	2
19	122.09585938495688	0.5	122.09585938495688	534	0.4402516104	0.257245848	0.75	0.5	1000	170	0 days 00:04:50.848090000	2
20	123.50144104138234	0.5	123.50144104138234	600	0.5	0.9	0.0	0.5	1000	761	0 days 00:11:53.874065000	2
21	123.55420752144397	0.5	123.55420752144397	437	0.1577599288	0.9	0.0	0.5	823	950	0 days 00:17:02.971461000	2
22	123.40343744405307	0.49788	123.40343744405307	585	0.1461113653	0.9	0.0	0.50212	989	978	0 days 00:15:40.651048000	2
23	123.40343744405307	0.5	123.40343744405307	600	0.5	0.9	0.0	0.5	1000	977	0 days 00:18:35.233149000	2
24	123.40343744405307	0.5	123.40343744405307	600	0.5	0.9	0.0	0.5	1000	1000	0 days 00:19:15.404639000	2
25	123.27902301659176	0.30947	123.27902301659176	489	0.2401044961	0.2539028999	0.75	0.69053	1000	180	0 days 00:07:26.226989000	2
26	121.67703419830507	0.41949	121.67703419830507	439	0.2920996955	0.2512688365	0.7494194221	0.58051	684	138	0 days 00:03:20.552842000	2
27	122.80533255841019	0.40561	122.80533255841019	413	0.2887131045	0.9	0.0274485065	0.59439	569	778	0 days 00:04:55.008455000	1
28	122.19832064357877	0.5	122.19832064357877	487	0.1397831623	0.2536384527	0.75	0.5	1000	257	0 days 00:07:16.027211000	2
29	116.8903515492321	0.39056	116.8903515492321	244	0.2142907945	0.1	0.75	0.60944	1000	275	0 days 00:07:00.134970000	2


Result for 2018-11-18:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	119.27172860418875	0.66693	119.27172860418875	107	0.3087564442	0.8633282817	0.5958211707	0.33307	515	727	0 days 00:00:31.803821000	2
1	122.03538066526238	0.51681	122.03538066526238	111	0.404902629	0.3935558597	0.4606799039	0.48319	792	154	0 days 00:00:36.315563000	2
2	118.94109964695068	0.82173	118.94109964695068	369	0.2055256635	0.2727943209	0.4822409446	0.17827	245	545	0 days 00:00:07.840181000	1
3	123.82642573545826	0.38594	123.82642573545826	571	0.1379704078	0.8458655836	0.1958372886	0.61406	938	252	0 days 00:04:02.143839000	2
4	123.69927014674082	0.48544	123.69927014674082	504	0.248070008	0.1199658587	0.3733984524	0.51456	648	699	0 days 00:01:08.639206000	1
5	124.39415426478554	0.23177	124.39415426478554	454	0.4703628617	0.3695791859	0.249140675	0.76823	490	591	0 days 00:01:05.983267000	1
6	113.3980517641385	0.67475	113.3980517641385	540	0.1	0.1	0.1514130281	0.32525	1000	1000	0 days 00:16:03.797942000	1
7	120.27914004574134	0.36841	120.27914004574134	600	0.2526928118	0.1300450034	0.2669818324	0.63159	766	557	0 days 00:11:28.802795000	1
8	121.92819305975108	0.22896	121.92819305975108	458	0.4775948129	0.3703921699	0.2494742245	0.77104	480	599	0 days 00:01:03.232272000	1
9	123.82642573545826	0.24146	123.82642573545826	250	0.3480326263	0.6466137574	0.381908303	0.75854	862	397	0 days 00:07:33.865123000	2
10	121.96726950537771	0.5	121.96726950537771	600	0.1	0.9	0.0	0.5	1000	100	0 days 00:00:26.885877000	2
11	112.4377010509014	0.18478	112.4377010509014	50	0.1	0.8059206054	0.6710938732	0.81522	100	100	0 days 00:00:04.613274000	2
12	111.98120934532615	0.9	111.98120934532615	50	0.5	0.9	0.0	0.1	578	100	0 days 00:00:05.435215000	1
13	119.19350487711563	0.5	119.19350487711563	600	0.5	0.1	0.0	0.5	1000	1000	0 days 00:44:48.160753000	2
14	106.74046396356685	0.5	106.74046396356685	600	0.1	0.1	0.75	0.5	100	1000	0 days 00:00:10.453497000	1
15	124.39415426478554	0.20665	124.39415426478554	491	0.5	0.8382353193	0.2733813187	0.79335	832	843	0 days 00:18:51.246990000	2
16	124.39415426478554	0.10264	124.39415426478554	584	0.2820059473	0.9	0.2663627179	0.89736	768	477	0 days 00:07:42.977740000	2
17	124.58052126619967	0.10551	124.58052126619967	584	0.2601176454	0.9	0.2642675707	0.89449	782	462	0 days 00:06:53.836267000	2
18	124.58052126619967	0.11533	124.58052126619967	600	0.1	0.9	0.2600114745	0.88467	768	173	0 days 00:04:30.638281000	2
19	124.58052126619965	0.12438	124.58052126619965	600	0.1	0.9	0.2577492493	0.87562	805	100	0 days 00:04:09.546322000	2
20	124.39415426478554	0.15293	124.39415426478554	600	0.1	0.9	0.2563579003	0.84707	835	142	0 days 00:03:02.162328000	2
21	123.03055722470486	0.1	123.03055722470486	95	0.1	0.9	0.2556658063	0.9	861	755	0 days 00:06:26.092774000	2
22	124.58052126619965	0.14698	124.58052126619965	600	0.5	0.9	0.293236265	0.85302	736	100	0 days 00:02:38.082979000	2
23	123.51941530004034	0.23369	123.51941530004034	600	0.1456328531	0.9	0.3336096444	0.76631	498	803	0 days 00:00:30.064704000	1
24	124.58052126619967	0.11981	124.58052126619967	600	0.5	0.4865345712	0.2823312256	0.88019	718	100	0 days 00:02:02.210177000	2
25	124.01903266948294	0.1088	124.01903266948294	600	0.4917378263	0.9	0.2873675427	0.8912	746	100	0 days 00:04:34.353676000	2
26	124.39415426478554	0.42329	124.39415426478554	600	0.3838458215	0.4012902828	0.2927572803	0.57671	909	100	0 days 00:00:26.923645000	2
27	123.62485443818782	0.5	123.62485443818782	600	0.5	0.1	0.2497571061	0.5	615	100	0 days 00:00:13.408127000	2
28	124.58052126619967	0.1	124.58052126619967	600	0.1	0.9	0.2937740872	0.9	881	359	0 days 00:09:35.191836000	2
29	124.58052126619967	0.1	124.58052126619967	600	0.1781949886	0.9	0.2920718042	0.9	879	142	0 days 00:07:06.793874000	2


Result for 2018-12-09:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	112.5811058861035	0.70351	112.5811058861035	62	0.1192534157	0.3404539261	0.5741397618	0.29649	996	889	0 days 00:00:23.767569000	1
1	121.85506508034386	0.71631	121.85506508034386	412	0.2851221689	0.792242875	0.3771975181	0.28369	591	325	0 days 00:00:57.912458000	2
2	122.81486767930019	0.63789	122.81486767930019	450	0.4210307175	0.8900652664	0.4863760882	0.36211	894	970	0 days 00:28:43.816040000	2
3	123.61479013898585	0.40893	123.61479013898585	408	0.1049245468	0.6881561988	0.6424819616	0.59107	580	341	0 days 00:06:14.399250000	2
4	119.27360953830514	0.44872	119.27360953830514	421	0.4399661196	0.2925399498	0.2470229422	0.55128	374	330	0 days 00:04:34.919042000	2
5	122.13479985430172	0.38273	122.13479985430172	401	0.1	0.6797137195	0.664196486	0.61727	538	237	0 days 00:03:52.999685000	2
6	118.76277502191388	0.5	118.76277502191388	600	0.5	0.9	0.75	0.5	100	1000	0 days 00:00:22.800367000	2
7	121.1154977158007	0.59792	121.1154977158007	472	0.1	0.9	0.75	0.40208	1000	1000	0 days 00:35:23.188488000	2
8	123.70251327503141	0.5	123.70251327503141	311	0.2040099266	0.9	0.6551042854	0.5	957	505	0 days 00:11:05.886174000	2
9	122.77785787780425	0.5	122.77785787780425	275	0.120194462	0.9	0.6300212107	0.5	1000	387	0 days 00:07:38.596099000	2
10	122.38215253034244	0.46919	122.38215253034244	348	0.2733914326	0.830872462	0.6117480388	0.53081	776	507	0 days 00:10:25.750058000	2
11	121.18149146476371	0.5	121.18149146476371	91	0.1377073104	0.6762248717	0.75	0.5	849	100	0 days 00:01:02.168815000	2
12	121.22586924796889	0.5	121.22586924796889	272	0.1	0.9	0.0	0.5	139	100	0 days 00:00:02.095729000	2
13	122.20214449481362	0.1	122.20214449481362	375	0.5	0.9	0.4314374875	0.9	100	100	0 days 00:00:24.049240000	2
14	121.05967200812219	0.5	121.05967200812219	600	0.1	0.9	0.0	0.5	1000	100	0 days 00:01:32.919511000	1
15	123.70251327503141	0.5	123.70251327503141	392	0.1	0.7301736975	0.0	0.5	978	870	0 days 00:14:50.037074000	2
16	123.6782113985088	0.5	123.6782113985088	444	0.5	0.7027791634	0.0497827936	0.5	1000	390	0 days 00:04:45.615854000	2
17	123.70251327503141	0.5	123.70251327503141	478	0.3110325121	0.6785683285	0.0	0.5	1000	356	0 days 00:04:47.807737000	2
18	123.70251327503141	0.5	123.70251327503141	529	0.5	0.6152720249	0.0	0.5	1000	929	0 days 00:22:31.860794000	2
19	123.70251327503141	0.5	123.70251327503141	531	0.5	0.6119699659	0.0	0.5	1000	1000	0 days 00:25:00.242982000	2
20	122.13768301318592	0.40954	122.13768301318592	411	0.423547221	0.6911072484	0.6631175811	0.59046	598	337	0 days 00:07:21.438978000	2
21	121.25954476574739	0.40913	121.25954476574739	407	0.1909640977	0.5437558103	0.5292694825	0.59087	574	556	0 days 00:11:39.669948000	2
22	123.70251327503141	0.5	123.70251327503141	475	0.2120489784	0.7245084048	0.0	0.5	1000	334	0 days 00:03:53.994962000	2
23	123.70251327503141	0.5	123.70251327503141	476	0.2117092825	0.7208144256	0.0	0.5	1000	294	0 days 00:03:38.848394000	2
24	123.67821139850881	0.50078	123.67821139850881	336	0.2659030406	0.8956578887	0.4238039456	0.49922	932	329	0 days 00:05:26.170215000	2
25	122.04190830284819	0.3964	122.04190830284819	406	0.1	0.6893679909	0.6360698783	0.6036	535	311	0 days 00:05:47.387498000	2
26	115.51287579426219	0.40881	115.51287579426219	408	0.1001383287	0.1120652825	0.7014116232	0.59119	581	293	0 days 00:06:19.395211000	2
27	122.04995987714034	0.43934	122.04995987714034	409	0.1	0.7192204236	0.700578579	0.56066	586	468	0 days 00:09:53.282183000	2
28	123.70251327503141	0.40766	123.70251327503141	406	0.1	0.7242493045	0.6658872108	0.59234	583	173	0 days 00:02:47.121047000	2
29	121.19971199403247	0.40719	121.19971199403247	224	0.1657567395	0.7239116085	0.6778592798	0.59281	580	377	0 days 00:04:25.181486000	2


