Result for 2018-12-03:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	318.56910511879346	0.26930808651703797	318.56910511879346	284	0.7306919134829621	1752	501	3
1	291.7071513834419	0.7253382647	291.7071513834419	1972	0.1895588064	659	990	1
2	292.1096172037544	0.105226063	292.1096172037544	725	0.4184922304	318	106	2
3	302.8399295511665	0.5779392566965306	302.8399295511665	323	0.4220607433034695	1252	1318	2
4	312.6580791178169	0.485714934	312.6580791178169	853	0.4035125493	680	1838	1
5	319.45399281410596	0.2655206573561986	319.45399281410596	757	0.7344793426438014	1485	788	3
6	294.5570048990669	0.2994104550188416	294.5570048990669	2000	0.7005895449811584	100	2000	3
7	310.15138050941846	0.3248673063	310.15138050941846	2000	0.1	100	1987	3
8	318.56910511879346	0.2648512431844917	318.56910511879346	1932	0.7351487568155083	1349	433	3
9	315.14735218910596	0.3250722576	315.14735218910596	705	0.5675125207	1712	925	3
10	274.5848369303169	0.24992292457998672	274.5848369303169	50	0.7500770754200132	220	2000	3
11	262.40899464516065	0.2708243491297566	262.40899464516065	56	0.7291756508702433	537	1248	3
12	319.45399281410596	0.23108934008077162	319.45399281410596	1839	0.7689106599192285	1539	1523	3
13	258.8408183756294	0.1645174558	258.8408183756294	50	0.6902983279	708	1950	1
14	319.5496806803169	0.23258562377836653	319.5496806803169	1842	0.7674143762216336	1540	1407	3
15	316.56080433754346	0.3653453921432133	316.56080433754346	768	0.6346546078567867	1429	1327	2
16	317.63050648598096	0.2358068980024521	317.63050648598096	754	0.7641931019975479	1497	842	3
17	317.7054423990669	0.2768365890948376	317.7054423990669	758	0.7231634109051623	1480	1257	3
18	317.7054423990669	0.2779806379344798	317.7054423990669	758	0.7220193620655202	1481	389	3
19	316.90064808754346	0.23578989376292897	316.90064808754346	2000	0.7642101062370711	1550	509	2
20	319.07435414223096	0.23196800521468816	319.07435414223096	1756	0.7680319947853119	1532	332	2
21	319.1140117350044	0.2320708939330725	319.1140117350044	1777	0.7679291060669274	1535	1243	3
22	318.56910511879346	0.2053114095501472	318.56910511879346	1835	0.7946885904498527	1466	1880	3
23	310.08375355629346	0.37460227252646383	310.08375355629346	1785	0.6253977274735361	1595	100	3
24	318.7338847818794	0.22763445575351882	318.7338847818794	1474	0.7723655442464811	1523	1957	3


Result for 2018-12-17:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
