Result for 2018-11-15:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	125.25351527747137	0.36923889169670115	125.25351527747137	630	0.6307611083032988	903	1793	1
1	128.58317570920897	0.5752174043221123	128.58317570920897	669	0.4247825956778876	1697	344	2
2	128.24898130914247	0.2860880775	128.24898130914247	1080	0.5402898506	1780	1156	2
3	105.7858944217479	0.6819723129	105.7858944217479	90	0.3076663971	1863	1527	1
4	127.88740726538968	0.6057980773	127.88740726538968	322	0.107372609	997	202	2
5	129.3217984397357	0.5808616777503438	129.3217984397357	634	0.4191383222496561	1538	344	2
6	129.35572013709725	0.6196955109829663	129.35572013709725	620	0.3803044890170336	1699	344	2
7	127.24522253723825	0.580475652025326	127.24522253723825	619	0.419524347974674	1432	328	2
8	128.97565978736674	0.6304450685569641	128.97565978736674	584	0.36955493144303586	1545	348	2
9	127.63651603041491	0.3846954517	127.63651603041491	743	0.1263276219	1695	452	2
10	129.08848464753257	0.528361927108559	129.08848464753257	1073	0.47163807289144105	1046	819	3
11	128.97565978736674	0.663469511864586	128.97565978736674	602	0.3365304881354139	1808	363	2
12	128.23333556845978	0.5172521293	128.23333556845978	494	0.1	2000	378	2
13	126.43705691360354	0.6384273509456989	126.43705691360354	664	0.36157264905430114	1136	788	3
14	128.58317570920897	0.6616569929	128.58317570920897	530	0.2869102015	1895	100	2
15	128.11165717256978	0.1	128.11165717256978	2000	0.9	291	1037	3
16	118.73685506498705	0.1	118.73685506498705	2000	0.9	100	2000	1
17	129.48271977973096	0.3512934741	129.48271977973096	1529	0.6247325666	936	856	3
18	128.66563339763673	0.127066419	128.66563339763673	1921	0.6896848099	848	886	3
19	129.64980585961882	0.5874313327452526	129.64980585961882	649	0.4125686672547474	1773	316	2
20	127.0236163977717	0.7059871542148145	127.0236163977717	375	0.29401284578518544	580	147	2
21	128.16991497145716	0.5659042160260382	128.16991497145716	748	0.4340957839739617	2000	366	2
22	125.93840646306002	0.5299176902792193	125.93840646306002	381	0.4700823097207807	931	689	3
23	127.68160460459946	0.5	127.68160460459946	192	0.5	1718	353	2
24	122.60607428682967	0.9	122.60607428682967	1693	0.1	1125	1020	3


Result for 2018-11-27:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	129.83115997648792	0.2697435313	129.83115997648792	1733	0.2359444713	964	1364	1
1	131.64910231454917	0.4595764873464221	131.64910231454917	1650	0.5404235126535778	521	1616	3
2	134.83523831947207	0.103371615	134.83523831947207	1332	0.6952436051	852	902	1
3	134.63225364953246	0.1574650377	134.63225364953246	551	0.6673189191	1842	295	2
4	126.56112868094013	0.5009604507826543	126.56112868094013	858	0.4990395492173458	633	1621	1
5	132.76075061645835	0.1	132.76075061645835	50	0.9	2000	100	3
6	131.3143263370789	0.1	131.3143263370789	1653	0.6856605191	520	1125	1
7	121.95280246653267	0.5739645590957271	121.95280246653267	1422	0.42603544090427287	318	1437	3
8	131.78285367470687	0.151478642	131.78285367470687	1397	0.1588810339	1257	1997	1
9	130.21311890067102	0.1529738421838396	130.21311890067102	50	0.8470261578161604	1786	100	3
10	134.38516689102045	0.7931228092089128	134.38516689102045	1889	0.20687719079108718	1753	361	2
11	113.42131015019406	0.5502979177732199	113.42131015019406	521	0.44970208222678004	147	1857	2
12	134.8352383194721	0.37692430190265863	134.8352383194721	1164	0.6230756980973413	2000	809	2
13	129.11066174532075	0.1	129.11066174532075	2000	0.1	2000	2000	1
14	131.96571335103735	0.5905039868148301	131.96571335103735	1229	0.4094960131851698	1714	100	3
15	128.02770494863034	0.4516339333298017	128.02770494863034	50	0.5483660666701984	2000	100	1
16	134.8352383194721	0.1424441884	134.8352383194721	1132	0.8155430202	369	631	2
17	132.54062028803253	0.4967445906757514	132.54062028803253	1952	0.5032554093242485	904	1952	3
18	133.8941348239499	0.3871729865147689	133.8941348239499	643	0.612827013485231	1470	696	2
19	134.8352383194721	0.28259200414975816	134.8352383194721	1462	0.717407995850242	1397	988	2
20	134.8352383194721	0.1	134.8352383194721	2000	0.9	780	902	2
21	134.63225364953246	0.1391028791	134.63225364953246	775	0.6680894033	1898	335	2
22	134.8352383194721	0.2833774486773113	134.8352383194721	1527	0.7166225513226887	1490	971	2
23	134.8352383194721	0.1027098002	134.8352383194721	1480	0.7737569535	710	889	1
24	128.93548767254464	0.1654704122	128.93548767254464	712	0.5982761423	1826	367	2


Result for 2019-01-17:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	128.6222249120198	0.4591158499	128.6222249120198	1409	0.4789812125	1059	1678	3
1	101.54130967617627	0.820134754263288	101.54130967617627	125	0.17986524573671195	1019	1494	2
2	125.66257915529434	0.620216806	125.66257915529434	1627	0.257475404	146	879	2
3	128.1233136425363	0.19792261	128.1233136425363	510	0.7141449116	854	928	1
4	124.86730794427646	0.4158953465	124.86730794427646	1807	0.2216999587	1116	1820	2
5	0.0	0.351223590419808	0.0	1226	0.6487764095801919	100	100	1
6	126.9825308796679	0.4486997518	126.9825308796679	1452	0.4821110694	1062	1683	3
7	127.82143323088391	0.341575571	127.82143323088391	1720	0.6269437245	1056	1719	3
8	128.1233136425363	0.165075949	128.1233136425363	2000	0.227676262	1170	1888	2
9	126.9825308796679	0.1	126.9825308796679	2000	0.4541975796	1222	1941	3
10	128.50621188868487	0.1	128.50621188868487	2000	0.2387881577	1190	1972	2
11	97.97680182136764	0.9	97.97680182136764	50	0.1	999	1468	3
12	114.41512727840248	0.23016791973456124	114.41512727840248	50	0.7698320802654388	2000	962	2
13	126.7641902546898	0.2001461945	126.7641902546898	687	0.6850883031	911	1103	1
14	126.9825308796679	0.1619230685	126.9825308796679	861	0.6165811107	458	974	1
15	126.92352167532052	0.1	126.92352167532052	2000	0.1	772	1994	1
16	128.1233136425363	0.1180021342	128.1233136425363	892	0.5728493162	507	1104	1
17	125.31088402700767	0.1	125.31088402700767	1902	0.1	1856	1998	1
18	128.62222491201976	0.1	128.62222491201976	1642	0.9	1322	1574	3
19	121.1669019597151	0.7645938256	121.1669019597151	1759	0.1	114	1035	2
20	128.6222249120198	0.1	128.6222249120198	1959	0.9	1152	1599	3
21	128.6222249120198	0.1	128.6222249120198	2000	0.9	1091	1657	3
22	127.72788102394202	0.5416896047	127.72788102394202	1926	0.1	100	881	1
23	128.42948740409597	0.1	128.42948740409597	1555	0.8672495788	1189	1601	3
24	124.18839414853758	0.2413872113	124.18839414853758	1068	0.4973389149	100	896	1


